book_id_csv,book_id
1625,300093047
1626,300094000
1627,300095244
1628,300101058
1629,300111142
1630,30547741
1631,306804980
1632,306805626
1633,306808900
1634,306808919
1635,306813688
1636,306814552
1637,307236013
1638,307237907
1639,307264122
1640,307264653
1641,307264882
1642,307264890
1643,307265439
1644,307266613
1645,307274977
1646,307275558
1647,307275566
1648,307275736
1649,307275930
1650,307276902
1651,307277674
1652,307278360
1653,307335852
1654,307337332
1655,307337936
1656,307345971
1657,307346587
1658,307383415
1659,310217601
1660,310243564
1661,310243874
1662,310243882
1663,310252199
1664,310257867
1665,310259665
1666,310264138
1667,310272661
1668,310330513
1669,310929555
1670,3110172798
1671,312062354
1672,312088477
1673,312135254
1674,312143400
1675,312147678
1676,312151225
1677,312155328
1678,312155859
1679,312157118
1680,312181108
1681,312183011
1682,312186886
1683,312194390
1684,312194404
1685,312199430
1686,312202059
1687,312203039
1688,312203853
1689,312241224
1690,312241356
1691,312243359
1692,312252811
1693,312263082
1694,312263104
1695,312263236
1696,312263996
1697,312265050
1698,312266057
1699,312267177
1700,312273223
1701,312274920
1702,312277105
1703,312278497
1704,312287445
1705,312288018
1706,312288271
1707,312289510
1708,312300336
1709,312300530
1710,312304463
1711,312306342
1712,312311338
1713,312312156
1714,312313675
1715,312315732
1716,312316135
1717,312319738
1718,312320191
1719,312321198
1720,312321201
1721,312323867
1722,312330863
1723,312333757
1724,312339011
1725,312342519
1726,312348649
1727,312349491
1728,312352182
1729,312352352
1730,312354606
1731,312354959
1732,312360118
1733,312361750
1734,312369344
1735,312420145
1736,312420927
1737,312422156
1738,312422245
1739,312422326
1740,312422733
1741,312423136
1742,312423209
1743,312423373
1744,312423675
1745,312424086
1746,312424124
1747,312424671
1748,312424914
1749,312425082
1750,312425864
1751,312426038
1752,312426119
1753,312426232
1754,312643063
1755,312852533
1756,312853025
1757,312861435
1758,312861877
1759,312862172
1760,312864744
1761,312865767
1762,312869592
1763,312872798
1764,312873115
1765,312874561
1766,312875576
1767,312876629
1768,312878265
1769,312878605
1770,312890184
1771,312890389
1772,312925743
1773,312929641
1774,312932782
1775,312932804
1776,312934300
1777,312934319
1778,312934432
1779,312935757
1780,312937695
1781,312937725
1782,312940025
1783,312940661
1784,312940688
1785,312941463
1786,312948964
1787,312953968
1788,312965680
1789,312965788
1790,312966970
1791,312970072
1792,312970749
1793,312971281
1794,312971397
1795,312975732
1796,312978332
1797,312980140
1798,312980167
1799,312980388
1800,312982011
1801,312982518
1802,312982860
1803,312983301
1804,312983867
1805,312985347
1806,312987013
1807,312989385
1808,312990685
1809,312990693
1810,312990715
1811,312994818
1812,312997116
1813,312997833
1814,313309337
1815,316000612
1816,316000957
1817,316010766
1818,316013269
1819,316013307
1820,316013315
1821,316017442
1822,316066141
1823,316154970
1824,316156116
1825,316159727
1826,316168815
1827,316172324
1828,316182745
1829,316281336
1830,316284955
1831,316294527
1832,316296198
1833,316341517
1834,316563560
1835,316578991
1836,316614564
1837,316693359
1838,316706000
1839,316735167
1840,316769487
1841,316831301
1842,316907928
1843,316910333
1844,316912123
1845,316919896
1846,316926345
1847,316926604
1848,316955124
1849,321209184
1850,321399536
1851,321427130
1852,321432878
1853,330281720
1854,330301748
1855,330304216
1856,330314912
1857,330316257
1858,330334611
1859,330334689
1860,330338811
1861,330340190
1862,330340328
1863,330345044
1864,330346512
1865,330347764
1866,330351699
1867,330353829
1868,330363689
1869,330371223
1870,330371231
1871,330375466
1872,330398040
1873,330412442
1874,330418882
1875,330419129
1876,330419153
1877,330419587
1878,330419641
1879,330444573
1880,330487108
1881,330487140
1882,330487159
1883,330487191
1884,330488155
1885,330490265
1886,330491199
1887,333666380
1888,334028965
1889,340425679
1890,340637870
1891,340689609
1892,340766182
1893,340769203
1894,340774770
1895,340796154
1896,340820462
1897,340828064
